name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
거북선숯불풍천장어,고창군,전북특별자치도,35.4329676956,126.4336878622,2783375,,"관광,음식점",,,,,,
고창부안축협한우명품관참예우,고창군,전북특별자치도,35.4365605902,126.6969449176,2870395,,"관광,음식점",,,,,,
곰소 아리랑 식당,고창군,전북특별자치도,35.5871392253,126.608476768,2870355,,"관광,음식점",,,,,,
곰소궁횟집삼대젓갈,고창군,전북특별자치도,35.5874085754,126.6046965416,2789428,,"관광,음식점",,,,,,
곰소물회,고창군,전북특별자치도,35.5873031108,126.6093794612,2905173,,"관광,음식점",,,,,,
곰소쉼터,고창군,전북특별자치도,35.5984880793,126.6170201641,686350,,"관광,음식점",,,,,,
구 전망좋은집,고창군,전북특별자치도,35.6007439447,126.4855262701,2867037,,"관광,음식점",,,,,,
나래궁,고창군,전북특별자치도,35.4332942913,126.6968033451,2904620,,"관광,음식점",,,,,,
넓은 들 학원 농장,고창군,전북특별자치도,35.3754177213,126.543290658,3018385,,"관광,음식점",,,,,,
들꽃카페,고창군,전북특별자치도,35.4459452207,126.6722802061,3349988,,"관광,음식점",,,,,,
디온실 컨서버토리,고창군,전북특별자치도,35.5096014571,126.6468003127,2904190,,"관광,음식점",,,,,,
마르,고창군,전북특별자치도,35.6070873572,126.4670249827,2840133,,"관광,음식점",,,,,,
마식당,고창군,전북특별자치도,35.6241493774,126.4713380579,2840149,,"관광,음식점",,,,,,
매산105,고창군,전북특별자치도,35.4422897233,126.6510710718,3469386,,"관광,음식점",,,,,,
명가풍천장어,고창군,전북특별자치도,35.5074647895,126.599349033,2873597,,"관광,음식점",,,,,,
뭉치네풍천장어전문,고창군,전북특별자치도,35.5030678394,126.5858392346,1602084,,"관광,음식점",,,,,,
백일후애,고창군,전북특별자치도,35.4459063567,126.6734856556,2904869,,"관광,음식점",,,,,,
본가,고창군,전북특별자치도,35.4305397626,126.7391135449,2904217,,"관광,음식점",,,,,,
부찌,고창군,전북특별자치도,35.4361217589,126.6974198861,2671861,,"관광,음식점",,,,,,
산촌식당,고창군,전북특별자치도,35.6114972404,126.5890806578,2870332,,"관광,음식점",,,,,,
새재가든,고창군,전북특별자치도,35.4996420136,126.84266371,2912146,,"관광,음식점",,,,,,
석정시골집,고창군,전북특별자치도,35.4306397584,126.7395273945,2904249,,"관광,음식점",,,,,,
선운사 산장회관,고창군,전북특별자치도,35.5039010729,126.5855281302,133445,,"관광,음식점",,,,,,
슬지제빵소,고창군,전북특별자치도,35.5947551918,126.6182757021,2840161,,"관광,음식점",,,,,,
식도락게장,고창군,전북특별자치도,35.5903694937,126.6132234848,2437652,,"관광,음식점",,,,,,
신기계곡산장식당,고창군,전북특별자치도,35.3868249082,126.7174776778,2904893,,"관광,음식점",,,,,,
신덕식당,고창군,전북특별자치도,35.5080786152,126.599748982,134343,,"관광,음식점",,,,,,
연기식당,고창군,전북특별자치도,35.5086341069,126.59970175,2789445,,"관광,음식점",,,,,,
옛날집 풍천장어본가,고창군,전북특별자치도,35.5039151148,126.5947273112,2789442,,"관광,음식점",,,,,,
옛도심조양관,고창군,전북특별자치도,35.4338359764,126.7015251342,3448898,,"관광,음식점",,,,,,
우연,고창군,전북특별자치도,35.4324528831,126.706452509,3459774,,"관광,음식점",,,,,,
우진갯벌장어,고창군,전북특별자치도,35.4363470359,126.7153294002,1017691,,"관광,음식점",,,,,,
인천가든,고창군,전북특별자치도,35.4625314782,126.627725416,134994,,"관광,음식점",,,,,,
작은항구,고창군,전북특별자치도,35.5425296954,126.566287205,2904282,,"관광,음식점",,,,,,
정자나무횟집,고창군,전북특별자치도,35.446071935,126.4439643991,133567,,"관광,음식점",,,,,,
청림정금자할매집,고창군,전북특별자치도,35.4999908485,126.6118842168,2904315,,"관광,음식점",,,,,,
최군감자탕,고창군,전북특별자치도,35.4352804106,126.7106187348,3468312,,"관광,음식점",,,,,,
카페 마사,고창군,전북특별자치도,35.6639705027,126.5104057914,2905223,,"관광,음식점",,,,,,
퓨전한정식마실,고창군,전북특별자치도,35.4309533314,126.7229705242,2904915,,"관광,음식점",,,,,,
한우청보리,고창군,전북특별자치도,35.3837782227,126.5635330951,2369443,,"관광,음식점",,,,,,
해변촌탈아리궁,고창군,전북특별자치도,35.6383897183,126.4888666916,404108,,"관광,음식점",,,,,,
해주가든,고창군,전북특별자치도,35.507689867,126.6054845923,2891545,,"관광,음식점",,,,,,
강나루풍천장어,고창군,전북특별자치도,35.5097839943,126.6007488501,2823376,,"관광,음식점",,,,,,
격포채석강횟집,고창군,전북특별자치도,35.6274434595,126.4720684652,1607036,,"관광,음식점",,,,,,
고향식당,고창군,전북특별자치도,35.5038732963,126.5854114746,1602269,,"관광,음식점",,,,,,
군산식당,고창군,전북특별자치도,35.6242326985,126.4711575164,404104,,"관광,음식점",,,,,,
군산아구찜,고창군,전북특별자치도,35.4359884888,126.7002640809,1602250,,"관광,음식점",,,,,,
금단양만,고창군,전북특별자치도,35.5365912789,126.554252315,2743343,,"관광,음식점",,,,,,
길뜨락,고창군,전북특별자치도,35.4313948933,126.7197263567,2891537,,"관광,음식점",,,,,,
다은회관,고창군,전북특별자치도,35.4323473898,126.7094522455,1602066,,"관광,음식점",,,,,,
라벤하임,고창군,전북특별자치도,35.6033767973,126.474724389,1605914,,"관광,음식점",,,,,,
모꼬지바지락요리전문점,고창군,전북특별자치도,35.4315952113,126.7398828946,2950522,,"관광,음식점",,,,,,
백합식당,고창군,전북특별자치도,35.6287794095,126.4715351458,1605045,,"관광,음식점",,,,,,
변산명인바지락죽,고창군,전북특별자치도,35.664462164,126.5134082893,1605003,,"관광,음식점",,,,,,
새전주횟집,고창군,전북특별자치도,35.6282128193,126.4722350977,1606186,,"관광,음식점",,,,,,
서해바다횟집,고창군,전북특별자치도,35.6277906139,126.4703797182,1985789,,"관광,음식점",,,,,,
신사와호박,고창군,전북특별자치도,35.5926491946,126.5778960191,2819849,,"관광,음식점",,,,,,
아우성회센터,고창군,전북특별자치도,35.4359970448,126.7135406796,1602147,,"관광,음식점",,,,,,
청원가든,고창군,전북특별자치도,35.5033568657,126.5959633266,3434739,,"관광,음식점",,,,,,
청해루,고창군,전북특별자치도,35.6217774632,126.473601805,1606227,,"관광,음식점",,,,,,
태흥갈비,고창군,전북특별자치도,35.4343693734,126.7088522479,1602119,,"관광,음식점",,,,,,
텃밭쌈밥식당,고창군,전북특별자치도,35.4463368568,126.6731023452,3468004,,"관광,음식점",,,,,,
필봉솥뚜껑삼겹살,고창군,전북특별자치도,35.4356220536,126.7115186457,1602306,,"관광,음식점",,,,,,
향토바지락죽,고창군,전북특별자치도,35.6284822217,126.4715684838,1606089,,"관광,음식점",,,,,,
황소식당,고창군,전북특별자치도,35.5033011421,126.585594806,1602359,,"관광,음식점",,,,,,
