name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
게스트하우스 여정,군산시,전북특별자치도,35.9890284828,126.7089658538,2594149,,"관광,숙박",,,,,
게스트하우스여정,군산시,전북특별자치도,35.9889673773,126.7088936401,2575689,,"관광,숙박",,,,,
달[한국관광 품질인증/Korea Quality],군산시,전북특별자치도,35.9860399047,126.7071910901,2652937,,"관광,숙박",,,,,
리츠프라자호텔,군산시,전북특별자치도,35.9585094692,126.6928347529,143116,,"관광,숙박",,,,,
산들 게스트하우스,군산시,전북특별자치도,35.9834291128,126.7084493781,2571945,,"관광,숙박",,,,,
양지민박,군산시,전북특별자치도,36.1178487145,125.9818667107,2390022,,"관광,숙박",,,,,
탑클라우드호텔 군산[한국관광 품질인증/Korea Quality],군산시,전북특별자치도,35.9646650543,126.7356752068,2950838,,"관광,숙박",,,,,
호텔 봄[한국관광 품질인증/Korea Quality],군산시,전북특별자치도,35.9616645996,126.6890488986,2651332,,"관광,숙박",,,,,
히노키잠(1호점),군산시,전북특별자치도,35.986467675,126.7096047516,2570676,,"관광,숙박",,,,,
H(에이치)모텔[한국관광 품질인증/Korea Quality],군산시,전북특별자치도,35.9871732799,126.7172012764,2637906,,"관광,숙박",,,,,
게스트하우스 소설여행,군산시,전북특별자치도,35.9858398862,126.7047940872,2569871,,"관광,숙박",,,,,
다호,군산시,전북특별자치도,35.9880203028,126.7112045689,2569427,,"관광,숙박",,,,,
더샾모텔,군산시,전북특별자치도,35.978010574,126.7252146856,2569522,,"관광,숙박",,,,,
동국(게스트하우스 동국),군산시,전북특별자치도,35.9835707608,126.7082716127,2569537,,"관광,숙박",,,,,
라마다 군산호텔,군산시,전북특별자치도,35.9589621493,126.6901516474,2569565,,"관광,숙박",,,,,
라비치호텔,군산시,전북특별자치도,35.9383172811,126.5266334756,1161581,,"관광,숙박",,,,,
링스모텔,군산시,전북특별자치도,35.9872482349,126.7150709094,2569615,,"관광,숙박",,,,,
베스트웨스턴 군산호텔,군산시,전북특별자치도,35.9485337543,126.5839780809,1830621,,"관광,숙박",,,,,
블루모텔,군산시,전북특별자치도,35.9694394486,126.7321476209,2569737,,"관광,숙박",,,,,
비타민호텔,군산시,전북특별자치도,35.938322843,126.5270445496,2569745,,"관광,숙박",,,,,
승하빌,군산시,전북특별자치도,35.9811043522,126.7069134648,2621392,,"관광,숙박",,,,,
쏠모텔,군산시,전북특별자치도,35.9636533117,126.691962475,2569975,,"관광,숙박",,,,,
아크로호텔,군산시,전북특별자치도,35.9732102869,126.6763302934,2570095,,"관광,숙박",,,,,
앨리하우스,군산시,전북특별자치도,35.9878925064,126.7092630788,3101991,,"관광,숙박",,,,,
에이본 호텔,군산시,전북특별자치도,35.9763163105,126.7244925723,2570171,,"관광,숙박",,,,,
엘리스호텔,군산시,전북특별자치도,35.9460280579,126.5588415059,2570204,,"관광,숙박",,,,,
예스모텔,군산시,전북특별자치도,35.946691948,126.5633855268,2570237,,"관광,숙박",,,,,
오블로모프,군산시,전북특별자치도,35.9863426242,126.7057967624,3103191,,"관광,숙박",,,,,
오케이모텔,군산시,전북특별자치도,35.9702643621,126.7325808941,2570308,,"관광,숙박",,,,,
유로빌리지,군산시,전북특별자치도,35.9033850571,126.6842591627,1629060,,"관광,숙박",,,,,
이웃,군산시,전북특별자치도,35.986014884,126.7058162135,2570341,,"관광,숙박",,,,,
차칸호텔,군산시,전북특별자치도,35.9730825362,126.6770635642,2570406,,"관광,숙박",,,,,
책방,군산시,전북특별자치도,35.9883591377,126.7103046402,2570423,,"관광,숙박",,,,,
크로바모텔,군산시,전북특별자치도,35.9617257224,126.6901182454,2570473,,"관광,숙박",,,,,
파라다이스 호텔,군산시,전북특별자치도,35.9690339679,126.7338030389,2570533,,"관광,숙박",,,,,
파이체르(구 짬모텔),군산시,전북특별자치도,35.9804656949,126.7161820966,2570400,,"관광,숙박",,,,,
하늘,군산시,전북특별자치도,35.9876952998,126.7088492326,2570586,,"관광,숙박",,,,,
행복을 꿈꾸는 게스트하우스,군산시,전북특별자치도,35.984490107,126.7086410008,2570623,,"관광,숙박",,,,,
호텔은파팰리스,군산시,전북특별자치도,35.9541071421,126.6898129143,3056467,,"관광,숙박",,,,,
